order_id,customer_id,product,amount,order_date,status
O00500,C0049,Cable Organizer,7308.05,11/01/2025,canceled
O00384,C0014,Monitor Stand,17690.78,2023-05-14,Cancelled
O00224,C0054,Standing Desk Mat,4953.81,16/01/2024,CANCELLED
O00076,C0048,Webcam HD,28157.41,06-26-2023,Done
O00023,C0075,Whiteboard Marker Set,33404.92,21/01/2024,Completed
O00398,C0038,Notebook Pack,16329.53,2023-03-22,done
O00375,C0075,Standing Desk Mat,33058.83,03/02/2024,COMPLETED
O00440,C0075,Notebook Pack,,11-14-2023,Refunded
O00330,C0071,Portable Charger,32406.17,07-30-2024,cancelled
O00071,C0079,Notebook Pack,24334.92,2023-09-09,REFUNDED
O00234,C0031,Desk Lamp,28402.8,05-26-2025,Canceled
O00152,C0076,Portable Charger,,10-12-2025,refunded
O00364,C0001,Whiteboard Marker Set,34980.11,08-01-2024,Canceled
,,Monitor Stand,3309.79,2024-06-03,pending
O00160,C0043,Notebook Pack,33502.1,2024-01-25,completed
O00237,C0066,Cable Organizer,28558.87,02/05/2023,Done
O00085,C0099,Standing Desk Mat,9372.52,05-03-2025,Pending
O00283,C0120,Monitor Stand,982.3,01-20-2023,Canceled
O00316,C0042,USB-C Hub,34158.72,09-24-2025,refunded
O00444,C0028,Cable Organizer,11715.47,23/03/2024,Canceled
O00304,C0103,Whiteboard Marker Set,27850.19,01-05-2025,CANCELLED
O00257,C0055,Ergonomic Chair,27718.81,22/06/2023,PENDING
O00445,C0080,Whiteboard Marker Set,16698.25,2024-12-09,completed
O00149,C0030,Whiteboard Marker Set,7721.05,2025-10-28,Completed
O00165,C0006,Standing Desk Mat,30263.22,2024-06-18,Done
O00057,C0105,Whiteboard Marker Set,16647.46,01-27-2024,Completed
O00037,C0101,Webcam HD,8304.24,18/08/2025,PENDING
O00268,C0109,Desk Lamp,2167.08,26/08/2023,COMPLETED
O00280,C0111,Notebook Pack,27107.21,26/06/2023,Cancelled
O00455,C0083,Portable Charger,21699.09,05-29-2023,Completed
O00040,C0007,Cable Organizer,16898.06,07-30-2023,Canceled
O00050,C0001,Standing Desk Mat,12444.99,2023-06-25,refunded
O00385,C0039,Notebook Pack,16038.49,02/10/2023,canceled
O00120,C0037,Ergonomic Chair,10096.01,2024-04-20,Completed
O00503,C9902,USB-C Hub,1944.9,2025-09-17,completed
O00011,C0049,Whiteboard Marker Set,24672.65,2025-03-24,Canceled
O00465,C0084,Desk Lamp,3635.67,2024-10-12,COMPLETED
O00321,C0010,Desk Lamp,12235.68,2023-07-01,canceled
O00034,C0113,Standing Desk Mat,4716.19,2023-11-29,CANCELLED
O00451,C0055,Mechanical Keyboard,7313.65,05-28-2023,refunded
O00313,C0026,USB-C Hub,,02/05/2023,pending
O00454,C0081,Monitor Stand,15240.36,31/08/2023,completed
O00408,C0089,Portable Charger,21695.25,05-24-2024,refunded
O00014,C0022,Standing Desk Mat,16183.84,2025-06-13,Canceled
O00210,C0099,Cable Organizer,20661.95,20/02/2023,Done
O00293,C0110,Ergonomic Chair,5318.23,22/03/2025,PENDING
O00417,C0099,Standing Desk Mat,21057.9,07-15-2025,Canceled
O00485,C0043,Portable Charger,4098.97,07/03/2024,REFUNDED
O00153,C0045,Cable Organizer,23545.96,05-02-2025,canceled
O00221,C0076,Mechanical Keyboard,12274.52,12-20-2023,Refunded
O00054,C0044,Cable Organizer,6251.03,09-07-2025,Refunded
O00339,C0011,Monitor Stand,31611.69,11-24-2025,Completed
O00473,C0029,Standing Desk Mat,25702.69,2025-08-09,Cancelled
O00250,C0001,Desk Lamp,16766.19,04-08-2024,Done
O00471,C0115,Wireless Mouse,29757.97,04-09-2025,completed
O00463,C0103,Standing Desk Mat,29850.8,05-30-2023,Refunded
O00435,C0101,Portable Charger,10173.49,04/03/2025,Completed
O00170,C0108,Mechanical Keyboard,33089.75,2025-04-24,Completed
O00491,C0093,Cable Organizer,12091.44,05-21-2023,Refunded
O00239,C0107,Desk Lamp,26687.12,19/10/2023,CANCELLED
O00393,C0116,Mechanical Keyboard,17978.24,22/08/2023,done
O00226,C0018,USB-C Hub,11112.43,04-20-2023,Refunded
O00367,C0031,Wireless Mouse,28219.03,10-16-2024,CANCELLED
O00456,C0065,Mechanical Keyboard,10250.1,06-27-2023,Cancelled
O00232,C0057,Whiteboard Marker Set,7765.4,2024-05-21,refunded
O00069,C0032,Mechanical Keyboard,1052.11,26/11/2025,pending
O00477,C0006,Desk Lamp,26687.07,2024-06-25,PENDING
O00082,C0071,Notebook Pack,4511.31,07-11-2023,Cancelled
O00376,C0112,Cable Organizer,13450.55,21/04/2023,Cancelled
O00059,C0056,Monitor Stand,26054.02,18/01/2024,CANCELLED
O00088,C0054,Webcam HD,16335.27,10-22-2023,canceled
O00264,C0081,Portable Charger,17611.06,03/04/2025,refunded
O00216,C0030,Monitor Stand,22096.78,06-04-2025,pending
O00430,C0098,Ergonomic Chair,19745.03,08-08-2024,refunded
O00360,C0035,Cable Organizer,14420.74,01-19-2023,completed
O00442,C0091,Ergonomic Chair,18459.54,05-20-2023,pending
O00157,C0011,Webcam HD,,01-26-2024,COMPLETED
O00172,C0048,Wireless Mouse,,09-26-2025,REFUNDED
O00285,C0031,Monitor Stand,17296.7,2024-07-27,Completed
O00432,C0008,Desk Lamp,9453.46,28/05/2024,pending
O00164,C0093,Webcam HD,26692.53,2025-01-29,canceled
O00043,C0054,Wireless Mouse,13965.82,2025-03-01,Canceled
O00340,C0087,Standing Desk Mat,5287.7,2023-12-09,Refunded
O00355,C0026,Wireless Mouse,8843.99,2025-01-08,Refunded
O00434,C0058,Mechanical Keyboard,21621.01,03-07-2025,PENDING
O00074,C0119,Portable Charger,22373.48,04-04-2024,Canceled
O00158,C0049,Cable Organizer,21232.79,2024-01-21,Completed
O00246,C0119,USB-C Hub,15528.26,19/02/2024,completed
O00021,C0010,Notebook Pack,16241.19,2025-01-25,Completed
O00115,C0037,Portable Charger,2903.25,06-09-2024,Refunded
O00449,C0084,Desk Lamp,11312.22,2023-12-09,COMPLETED
O00131,C0016,Webcam HD,10841.51,10-26-2025,CANCELLED
O00173,C0069,Whiteboard Marker Set,14484.56,07-16-2024,completed
O00084,C0073,Wireless Mouse,28909.31,2023-04-04,completed
O00091,C0032,USB-C Hub,3522.98,06/05/2025,Cancelled
O00073,C0091,Mechanical Keyboard,19316.95,19/11/2023,Cancelled
O00424,C0056,Standing Desk Mat,16979.66,12-22-2023,pending
O00272,C0016,Wireless Mouse,11824.47,11/05/2023,refunded
O00269,C0078,Wireless Mouse,10928.07,2023-01-26,pending
O00314,C0076,Portable Charger,32115.18,01-17-2025,done
O00271,C0093,Notebook Pack,5967.83,07-04-2024,Done
O00348,C0078,Cable Organizer,24323.79,09/11/2024,Completed
O00474,C0012,Monitor Stand,12830.08,05-04-2024,completed
O00156,C0072,Whiteboard Marker Set,4822.27,21/02/2024,PENDING
O00464,C0009,Notebook Pack,3571.45,01/01/2025,REFUNDED
O00374,C0075,Notebook Pack,16311.52,20/04/2023,done
O00032,C0003,Ergonomic Chair,10913.29,22/09/2025,Pending
O00327,C0022,Monitor Stand,5756.68,07-10-2023,COMPLETED
O00448,C0048,Whiteboard Marker Set,28127.97,31/03/2023,Refunded
O00089,C0092,Ergonomic Chair,25736.6,25/09/2023,Canceled
O00211,C0038,Monitor Stand,32231.0,2023-10-18,COMPLETED
O00249,C0093,Portable Charger,26469.6,07-06-2023,refunded
O00222,C0091,Notebook Pack,32166.01,10-02-2023,COMPLETED
O00418,C0098,Cable Organizer,7877.11,20/08/2024,canceled
O00292,C0034,Mechanical Keyboard,3300.26,03-24-2023,Cancelled
O00067,C0005,Standing Desk Mat,5496.47,31/01/2025,Refunded
O00086,C0004,Webcam HD,31131.43,09-10-2024,Cancelled
O00382,C0069,Desk Lamp,,26/01/2024,completed
O00478,C0006,Cable Organizer,7355.28,19/08/2025,Canceled
O00025,C0108,Ergonomic Chair,,12-20-2023,COMPLETED
O00259,C0085,Notebook Pack,7308.99,03-13-2025,Pending
O00240,C0035,Cable Organizer,14585.16,2023-07-10,Refunded
O00404,C0062,Standing Desk Mat,23791.68,02-16-2025,pending
O00255,C0081,Portable Charger,5424.54,06-25-2025,refunded
O00056,C0102,Desk Lamp,31019.68,21/11/2025,canceled
O00016,C0029,Ergonomic Chair,27302.04,08-22-2023,COMPLETED
O00042,C0019,Monitor Stand,3345.31,16/12/2024,PENDING
O00177,C0029,Notebook Pack,23988.53,03-06-2023,COMPLETED
O00450,C0099,Whiteboard Marker Set,18731.76,2024-03-12,COMPLETED
O00102,C0120,Standing Desk Mat,11250.09,09-04-2024,CANCELLED
O00013,C0091,Cable Organizer,14706.05,12/02/2023,done
O00407,C0112,Cable Organizer,18439.43,11-23-2024,PENDING
O00466,C0043,Standing Desk Mat,23130.52,01-16-2025,Done
O00390,C0003,Wireless Mouse,24187.47,17/02/2025,refunded
O00065,C0087,USB-C Hub,,06-16-2025,Done
O00077,C0051,Portable Charger,25202.33,01/06/2023,refunded
O00406,C0053,Webcam HD,,10-05-2024,cancelled
O00290,C0010,Desk Lamp,4892.63,2023-08-05,done
O00425,C0017,Mechanical Keyboard,13650.47,02-26-2025,canceled
O00309,C0108,USB-C Hub,6286.27,01-04-2025,canceled
O00137,C0069,USB-C Hub,5883.28,2024-02-25,Refunded
O00380,C0100,USB-C Hub,20232.9,30/06/2023,pending
O00342,C0106,Cable Organizer,5302.7,18/05/2023,cancelled
O00286,C0118,Desk Lamp,31420.37,02-01-2025,refunded
,,Notebook Pack,4296.49,2025-05-17,pending
O00486,C0083,Monitor Stand,931.27,2023-11-26,Completed
O00324,C0057,Portable Charger,14774.33,06/10/2025,pending
O00353,C0098,Whiteboard Marker Set,30371.4,11-22-2023,Completed
O00472,C0028,Wireless Mouse,19372.6,11-01-2023,REFUNDED
O00394,C0064,Desk Lamp,21373.32,02-18-2024,cancelled
O00396,C0001,Wireless Mouse,23556.09,10-08-2025,done
O00273,C0074,Cable Organizer,,01-07-2025,Refunded
O00419,C0048,Portable Charger,3854.44,15/10/2023,pending
O00468,C0047,USB-C Hub,23833.05,05/08/2025,canceled
O00431,C0055,Wireless Mouse,,25/10/2023,completed
O00387,C0029,Portable Charger,34473.04,02-14-2023,Pending
O00051,C0047,Mechanical Keyboard,,20/08/2025,completed
O00333,C0022,Cable Organizer,10318.92,25/08/2023,COMPLETED
O00220,C0111,Webcam HD,18540.4,03-06-2025,canceled
O00111,C0112,Portable Charger,23873.67,09-18-2025,cancelled
O00143,C0118,Monitor Stand,13240.62,12-13-2024,Done
O00502,C9901,Monitor Stand,2827.26,2025-09-15,completed
O00495,C0070,Wireless Mouse,31409.26,05-11-2025,refunded
O00070,C0072,Mechanical Keyboard,9272.18,07-02-2025,cancelled
O00429,C0118,Cable Organizer,4772.74,10-22-2024,pending
O00026,C0091,Webcam HD,34685.85,02/02/2025,pending
O00391,C0033,Webcam HD,24609.81,01-20-2023,Pending
O00482,C0105,Ergonomic Chair,17116.61,01-14-2023,REFUNDED
O00068,C0010,Standing Desk Mat,4947.81,05/10/2024,Canceled
O00093,C0066,Webcam HD,17531.27,17/02/2023,Cancelled
O00231,C0015,Notebook Pack,27162.46,03-27-2023,Canceled
O00303,C0036,Monitor Stand,4931.81,05-25-2024,Pending
O00462,C0024,Desk Lamp,21648.06,2023-08-23,cancelled
O00187,C0049,Monitor Stand,6622.15,2024-08-27,CANCELLED
O00399,C0047,Cable Organizer,,2023-04-04,done
O00215,C0095,Desk Lamp,18131.9,23/05/2025,pending
O00281,C0002,Ergonomic Chair,7142.59,05-11-2024,Cancelled
O00218,C0091,Desk Lamp,7320.79,07-28-2023,COMPLETED
O00332,C0055,Mechanical Keyboard,,2023-07-18,REFUNDED
O00095,C0037,Webcam HD,20973.13,17/01/2023,REFUNDED
O00188,C0092,Mechanical Keyboard,3008.11,12/11/2023,Done
O00344,C0002,Portable Charger,21863.19,2025-04-28,refunded
O00476,C0073,Cable Organizer,30545.87,09-17-2025,Done
O00335,C0114,Monitor Stand,13023.02,2024-06-23,Refunded
O00122,C0005,Monitor Stand,27610.22,08-15-2024,pending
O00350,C0102,Notebook Pack,10985.89,07-21-2023,REFUNDED
O00096,C0056,USB-C Hub,,19/01/2025,Canceled
O00363,C0059,Notebook Pack,7753.8,03-24-2025,Cancelled
O00186,C0042,Wireless Mouse,22248.82,12/04/2024,Refunded
O00167,C0049,Standing Desk Mat,29192.52,11-22-2024,REFUNDED
O00497,C0103,Portable Charger,31788.79,02/10/2023,done
O00195,C0056,Notebook Pack,14824.84,2025-01-09,REFUNDED
O00108,C0089,Desk Lamp,14451.06,05-08-2023,REFUNDED
O00007,C0057,Monitor Stand,9669.14,30/05/2025,done
O00499,C0001,Portable Charger,26065.8,08-30-2023,completed
O00310,C0004,Portable Charger,24564.24,01-21-2024,Done
O00368,C0093,Wireless Mouse,22990.37,07/05/2025,Cancelled
O00414,C0064,Portable Charger,,24/04/2025,done
O00319,C0074,Monitor Stand,29798.73,2024-10-13,Completed
O00370,C0082,Webcam HD,31742.36,09-06-2024,Canceled
O00392,C0085,Mechanical Keyboard,23237.19,10-08-2023,cancelled
O00202,C0071,Wireless Mouse,33362.16,03-05-2024,Refunded
O00439,C0016,Monitor Stand,1565.14,06-25-2024,cancelled
O00386,C0116,Webcam HD,,2025-04-06,Pending
O00017,C0025,Ergonomic Chair,12385.18,2023-07-30,Done
O00277,C0117,Portable Charger,25961.94,2024-10-21,refunded
O00245,C0115,Cable Organizer,,2025-07-30,Completed
O00217,C0095,Standing Desk Mat,30925.83,05-29-2025,Refunded
O00270,C0090,Wireless Mouse,5858.73,11-25-2025,Canceled
O00028,C0013,Whiteboard Marker Set,23791.2,04/11/2023,Cancelled
O00066,C0009,Desk Lamp,27281.04,23/02/2025,Canceled
O00296,C0018,Mechanical Keyboard,565.71,2024-02-10,PENDING
O00469,C0100,Notebook Pack,17120.44,2023-06-17,done
O00204,C0039,Desk Lamp,8955.21,05-16-2025,Done
O00144,C0069,Monitor Stand,18579.69,2023-02-16,PENDING
O00437,C0112,Webcam HD,29074.75,02-07-2024,Canceled
O00334,C0051,Webcam HD,17194.51,2025-03-04,cancelled
O00252,C0062,Mechanical Keyboard,8128.03,07-29-2023,COMPLETED
O00141,C0045,Portable Charger,,2025-08-24,Completed
O00379,C0023,Ergonomic Chair,22261.92,14/07/2024,completed
O00323,C0032,Portable Charger,,2023-01-03,cancelled
O00377,C0020,USB-C Hub,34733.32,26/07/2025,canceled
O00191,C0066,Monitor Stand,3748.86,10/07/2023,COMPLETED
O00457,C0119,Webcam HD,13441.64,17/11/2023,completed
O00022,C0010,Cable Organizer,30268.98,11-04-2025,COMPLETED
O00278,C0118,Portable Charger,11299.06,02-02-2025,COMPLETED
O00004,C0068,Desk Lamp,13259.75,19/11/2023,Refunded
O00433,C0008,Portable Charger,27484.64,03-08-2023,Pending
O00253,C0048,Notebook Pack,4928.09,10-20-2023,Done
O00467,C0055,USB-C Hub,317.4,2025-06-12,PENDING
O00062,C0038,Notebook Pack,15689.61,2025-06-28,refunded
O00389,C0080,Wireless Mouse,20847.85,08-10-2023,Completed
O00080,C0112,Wireless Mouse,29123.8,04/12/2023,Done
O00183,C0031,Standing Desk Mat,29237.41,11-10-2024,CANCELLED
O00317,C0023,Portable Charger,33910.66,2023-12-26,Canceled
O00369,C0095,Wireless Mouse,20467.96,31/03/2024,Pending
O00447,C0102,Mechanical Keyboard,13597.16,2025-11-24,Cancelled
O00488,C0024,Whiteboard Marker Set,33544.56,08-03-2024,completed
O00106,C0022,Whiteboard Marker Set,,2024-05-11,CANCELLED
O00136,C0047,Mechanical Keyboard,32115.9,2025-11-01,done
O00124,C0083,Whiteboard Marker Set,18422.03,08-16-2025,Done
O00121,C0093,Wireless Mouse,31975.97,27/12/2023,pending
O00415,C0071,Wireless Mouse,28932.75,02-28-2024,Cancelled
O00256,C0012,Mechanical Keyboard,5028.6,02-25-2025,done
O00098,C0065,Webcam HD,26789.25,09-01-2023,cancelled
O00094,C0051,Whiteboard Marker Set,,2024-12-23,PENDING
O00138,C0063,Mechanical Keyboard,31476.19,2025-07-17,Refunded
O00294,C0087,Notebook Pack,9216.07,2025-04-08,pending
O00112,C0032,Notebook Pack,19598.88,14/08/2024,PENDING
O00182,C0027,Standing Desk Mat,5174.22,2024-09-04,CANCELLED
O00161,C0016,Portable Charger,34985.08,2024-02-23,REFUNDED
O00244,C0107,Notebook Pack,11920.1,09-20-2025,Done
O00092,C0111,USB-C Hub,28499.52,2023-11-23,canceled
O00284,C0001,Cable Organizer,13262.55,2024-02-25,Cancelled
O00039,C0065,Whiteboard Marker Set,14739.75,2023-10-11,pending
O00176,C0011,Ergonomic Chair,33581.49,05-13-2024,Refunded
O00345,C0073,Standing Desk Mat,20455.88,2023-07-26,done
O00421,C0120,Monitor Stand,7662.51,11-23-2024,Pending
O00048,C0016,Wireless Mouse,8458.86,2023-08-16,Refunded
O00148,C0077,Wireless Mouse,15707.92,2023-04-01,Completed
O00128,C0086,Mechanical Keyboard,6588.81,24/10/2024,Done
O00470,C0110,USB-C Hub,31211.59,06/06/2023,Pending
O00005,C0093,Ergonomic Chair,27222.5,2023-11-15,COMPLETED
O00275,C0087,Portable Charger,4168.49,2023-01-26,completed
O00446,C0116,Cable Organizer,21537.1,2024-10-19,PENDING
O00453,C0023,Notebook Pack,19598.79,14/04/2025,PENDING
O00212,C0044,Webcam HD,27481.59,02/09/2025,REFUNDED
O00162,C0031,Whiteboard Marker Set,11357.6,12/08/2025,Cancelled
,,Standing Desk Mat,1922.74,2024-07-18,pending
O00347,C0074,Standing Desk Mat,16635.15,05/04/2025,pending
O00113,C0089,Portable Charger,17191.25,14/07/2024,REFUNDED
O00325,C0045,Whiteboard Marker Set,13230.24,04-06-2024,REFUNDED
O00196,C0032,Portable Charger,21932.05,08/08/2023,Pending
O00035,C0089,Standing Desk Mat,,06-15-2025,pending
O00133,C0029,Desk Lamp,33513.97,2025-07-20,REFUNDED
O00501,C9900,Cable Organizer,2077.05,2024-02-22,completed
O00247,C0117,USB-C Hub,30892.73,2024-07-15,Cancelled
O00015,C0032,Monitor Stand,20671.75,27/09/2024,COMPLETED
O00416,C0059,Ergonomic Chair,12811.85,2025-07-19,Completed
O00236,C0077,Whiteboard Marker Set,6017.12,01/07/2024,Cancelled
O00349,C0007,Portable Charger,16710.83,11/02/2023,cancelled
O00235,C0018,Desk Lamp,28501.33,12-19-2024,Completed
O00492,C0050,USB-C Hub,3932.78,10-29-2025,Pending
O00125,C0104,Mechanical Keyboard,11673.67,06-10-2024,Refunded
O00248,C0047,Notebook Pack,3021.44,2025-03-22,pending
O00289,C0041,Monitor Stand,24569.99,16/07/2025,canceled
O00194,C0022,USB-C Hub,9521.09,26/10/2023,cancelled
O00227,C0002,Webcam HD,4907.37,11-01-2025,CANCELLED
O00356,C0036,Ergonomic Chair,28849.02,09-11-2023,CANCELLED
O00129,C0001,Notebook Pack,13516.95,06/11/2024,Refunded
O00395,C0053,Notebook Pack,5738.18,2025-09-11,REFUNDED
O00276,C0061,Ergonomic Chair,13496.22,2023-03-14,Done
O00132,C0114,Portable Charger,26978.73,08-27-2024,done
O00263,C0009,Wireless Mouse,9286.42,2025-03-26,Completed
O00060,C0064,Ergonomic Chair,32362.14,2025-05-19,cancelled
O00175,C0068,USB-C Hub,8547.0,01/07/2024,cancelled
O00151,C0085,Whiteboard Marker Set,7852.56,05/05/2023,Cancelled
O00258,C0077,Standing Desk Mat,25282.83,02-24-2023,Cancelled
O00038,C0025,Ergonomic Chair,23788.67,31/07/2024,Refunded
O00405,C0079,Wireless Mouse,30210.63,26/09/2025,Done
O00055,C0104,USB-C Hub,2348.12,2024-08-23,Refunded
O00260,C0007,Desk Lamp,17396.33,2025-10-20,done
O00209,C0034,Desk Lamp,17946.58,05/02/2025,PENDING
O00452,C0020,Wireless Mouse,16153.46,2023-06-29,canceled
O00134,C0078,Ergonomic Chair,14641.64,03-23-2024,REFUNDED
O00481,C0084,Mechanical Keyboard,18155.22,2025-11-23,CANCELLED
O00295,C0072,Portable Charger,19321.26,28/07/2023,done
O00207,C0032,Cable Organizer,23314.25,04-01-2023,pending
O00233,C0005,Webcam HD,9308.37,29/08/2023,COMPLETED
O00441,C0119,Ergonomic Chair,20950.88,03/01/2025,Cancelled
O00311,C0104,Webcam HD,19042.58,19/03/2023,pending
O00116,C0028,Desk Lamp,29003.94,07-10-2024,cancelled
O00423,C0065,USB-C Hub,33740.3,04-10-2023,completed
O00178,C0049,Monitor Stand,19411.2,01-20-2023,Completed
O00179,C0011,Webcam HD,29609.59,07-15-2023,canceled
O00299,C0012,Ergonomic Chair,4419.21,2023-12-11,Refunded
O00287,C0096,Mechanical Keyboard,20389.44,03-18-2025,Done
O00372,C0095,Notebook Pack,25422.48,11-18-2024,pending
O00146,C0032,Webcam HD,,2023-08-20,cancelled
O00490,C0053,Standing Desk Mat,5122.66,11-12-2025,pending
O00479,C0113,Wireless Mouse,1539.72,2024-07-14,canceled
O00036,C0047,Cable Organizer,25227.28,08-06-2024,Refunded
O00361,C0017,Cable Organizer,6185.22,2024-05-31,completed
O00378,C0111,Portable Charger,6434.61,12/11/2024,COMPLETED
O00008,C0087,Cable Organizer,20820.32,2024-03-27,Cancelled
O00504,C9903,Notebook Pack,4944.25,2024-12-06,completed
O00103,C0065,Whiteboard Marker Set,18701.58,04/02/2023,Cancelled
O00301,C0028,USB-C Hub,9732.39,2023-03-12,Refunded
O00208,C0083,Cable Organizer,,05/08/2023,canceled
O00203,C0038,Portable Charger,2559.25,10-19-2025,refunded
O00343,C0072,Monitor Stand,19388.64,07-27-2025,cancelled
O00181,C0088,Notebook Pack,,2024-10-06,Completed
O00205,C0010,Webcam HD,34675.91,03-31-2025,REFUNDED
O00400,C0018,Cable Organizer,22704.52,15/06/2025,canceled
O00142,C0053,USB-C Hub,26948.45,22/02/2025,refunded
O00045,C0018,Wireless Mouse,10147.03,10-12-2023,REFUNDED
